system,r_A,pair,ML_g,ML_sem,DFT_validation_g,DFT_validation_sem,ML_minus_DFT_validation
Youshui,0.64500,O-O,0,0,0,0,0
Youshui,0.65500,O-H,0,0,0,0,0
Youshui,0.65500,O-O,0,0,0,0,0
Youshui,0.66500,O-H,0,0,0,0,0
Youshui,0.66500,O-O,0,0,0,0,0
Youshui,0.67500,O-H,0,0,0,0,0
Youshui,0.67500,O-O,0,0,0,0,0
Youshui,0.68500,O-H,0,0,0,0,0
Youshui,0.68500,O-O,0,0,0,0,0
Youshui,0.69500,O-H,0,0,0,0,0
Youshui,0.69500,O-O,0,0,0,0,0
Youshui,0.70500,O-H,0,0,0,0,0
Youshui,0.70500,O-O,0,0,0,0,0
Youshui,0.71500,O-H,0,0,0,0,0
Youshui,0.71500,O-O,0,0,0,0,0
Youshui,0.72500,O-H,0,0,0,0,0
Youshui,0.72500,O-O,0,0,0,0,0
Youshui,0.73500,O-H,0,0,0,0,0
Youshui,0.73500,O-O,0,0,0,0,0
Youshui,0.74500,O-H,0,0,0,0,0
Youshui,0.74500,O-O,0,0,0,0,0
Youshui,0.75500,O-H,0,0,0,0,0
Youshui,0.75500,O-O,0,0,0,0,0
Youshui,0.76500,O-H,0,0,0,0,0
Youshui,0.76500,O-O,0,0,0,0,0
Youshui,0.77500,O-H,0,0,0,0,0
Youshui,0.77500,O-O,0,0,0,0,0
Youshui,0.78500,O-H,0,0,0,0,0
Youshui,0.78500,O-O,0,0,0,0,0
Youshui,0.79500,O-H,0,0,0,0,0
Youshui,0.79500,O-O,0,0,0,0,0
Youshui,0.80500,O-H,0,0,0,0,0
Youshui,0.80500,O-O,0,0,0,0,0
Youshui,0.81500,O-H,0,0,0,0,0
Youshui,0.81500,O-O,0,0,0,0,0
Youshui,0.82500,O-H,0,0,0,0,0
Youshui,0.82500,O-O,0,0,0,0,0
Youshui,0.83500,O-H,0,0,0,0,0
Youshui,0.83500,O-O,0,0,0,0,0
Youshui,0.84500,O-H,0,0,0,0,0
Youshui,0.84500,O-O,0,0,0,0,0
Youshui,0.85500,O-H,0,0,0,0,0
Youshui,0.85500,O-O,0,0,0,0,0
Youshui,0.86500,O-H,0,0,0,0,0
Youshui,0.86500,O-O,0,0,0,0,0
Youshui,0.87500,O-H,0,0,0,0,0
Youshui,0.87500,O-O,0,0,0,0,0
Youshui,0.88500,O-H,0,0,0,0,0
Youshui,0.88500,O-O,0,0,0,0,0
Youshui,0.89500,O-H,0,0,0,0,0
Youshui,0.89500,O-O,0,0,0,0,0
Youshui,0.90500,O-H,0,0,0,0,0
Youshui,0.90500,O-O,0,0,0,0,0
Youshui,0.91500,O-H,0,0,0,0,0
Youshui,0.91500,O-O,0,0,0,0,0
Youshui,0.92500,O-H,0.003134115158,0.003132547708,0,0,0.003134115158
Youshui,0.92500,O-O,0,0,0,0,0
Youshui,0.93500,O-H,0.02760690959,0.01013600268,0.02234924881,0.01113384097,0.005257660782
Youshui,0.93500,O-O,0,0,0,0,0
Youshui,0.94500,O-H,0.07206862183,0.01453334239,0.09298471245,0.02350922226,-0.02091609061
Youshui,0.94500,O-O,0,0,0,0,0
Youshui,0.95500,O-H,0.3410750276,0.0320133942,0.289210029,0.03887564503,0.05186499854
Youshui,0.95500,O-O,0,0,0,0,0
Youshui,0.96500,O-H,1.206585647,0.0614552855,1.164460502,0.08061926984,0.04212514545
Youshui,0.96500,O-O,0,0,0,0,0
Youshui,0.97500,O-H,3.27790026,0.09456395298,3.42722878,0.131667961,-0.1493285199
Youshui,0.97500,O-O,0,0,0,0,0
Youshui,0.98500,O-H,7.90206521,0.1512127619,8.28674434,0.2067813738,-0.3846791302
Youshui,0.98500,O-O,0,0,0,0,0
Youshui,0.99500,O-H,14.19874124,0.1925511927,16.5577925,0.2842392121,-2.359051258
Youshui,0.99500,O-O,0,0,0,0,0
Youshui,1.00500,O-H,24.99165385,0.2549426815,27.49802163,0.3694478848,-2.506367778
Youshui,1.00500,O-O,0,0,0,0,0
Youshui,1.01500,O-H,34.77811279,0.2990420636,39.93097737,0.4449045888,-5.152864574
Youshui,1.01500,O-O,0,0,0,0,0
Youshui,1.02500,O-H,43.65907681,0.3028888275,47.41728863,0.4729861885,-3.75821182
Youshui,1.02500,O-O,0,0,0,0,0
Youshui,1.03500,O-H,47.77109732,0.3153415383,49.87970139,0.4442929478,-2.108604073
Youshui,1.03500,O-O,0,0,0,0,0
Youshui,1.04500,O-H,46.34060129,0.3221339359,46.79156896,0.4435754187,-0.4509676679
Youshui,1.04500,O-O,0,0,0,0,0
Youshui,1.05500,O-H,39.94893386,0.2835580108,38.00932598,0.4150716266,1.939607874
Youshui,1.05500,O-O,0,0,0,0,0
Youshui,1.06500,O-H,31.13766298,0.2438668026,27.32495911,0.3493722799,3.812703869
Youshui,1.06500,O-O,0,0,0,0,0
Youshui,1.07500,O-H,21.54357221,0.2127960901,18.50909505,0.2895484694,3.034477159
Youshui,1.07500,O-O,0,0,0,0,0
Youshui,1.08500,O-H,13.61062298,0.1678320948,11.32325495,0.2210234043,2.287368036
Youshui,1.08500,O-O,0,0,0,0,0
Youshui,1.09500,O-H,8.044736547,0.1349822284,6.359192137,0.1726696733,1.68554441
Youshui,1.09500,O-O,0,0,0,0,0
Youshui,1.10500,O-H,4.243090034,0.09691701547,3.380333034,0.1212329332,0.8627569998
Youshui,1.10500,O-O,0,0,0,0,0
Youshui,1.11500,O-H,2.044835313,0.06736250375,1.445857438,0.07772254857,0.5989778753
Youshui,1.11500,O-O,0,0,0,0,0
Youshui,1.12500,O-H,0.993728129,0.0459857394,0.6522425103,0.05046501185,0.3414856187
Youshui,1.12500,O-O,0,0,0,0,0
Youshui,1.13500,O-H,0.4871065507,0.03299559484,0.3260875512,0.03486074498,0.1610189994
Youshui,1.13500,O-O,0,0,0,0,0
Youshui,1.14500,O-H,0.1718178172,0.01817391427,0.1341278822,0.02404188456,0.03768993491
Youshui,1.14500,O-O,0,0,0,0,0
Youshui,1.15500,O-H,0.0783972034,0.01230636979,0.05492307931,0.01398600583,0.0234741241
Youshui,1.15500,O-O,0,0,0,0,0
Youshui,1.16500,O-H,0.02568570439,0.007077475592,0.007197899508,0.005080404267,0.01848780489
Youshui,1.16500,O-O,0,0,0,0,0
Youshui,1.17500,O-H,0.01165401415,0.004743436684,0.01061385623,0.006111146888,0.001040157911
Youshui,1.17500,O-O,0,0,0,0,0
Youshui,1.18500,O-H,0.005729076505,0.00330271861,0,0,0.005729076505
Youshui,1.18500,O-O,0,0,0,0,0
Youshui,1.19500,O-H,0,0,0,0,0
Youshui,1.19500,O-O,0,0,0,0,0
Youshui,1.20500,O-H,0,0,0,0,0
Youshui,1.20500,O-O,0,0,0,0,0
Youshui,1.21500,O-H,0,0,0.003308836388,0.003305821503,-0.003308836388
Youshui,1.21500,O-O,0,0,0,0,0
Youshui,1.22500,O-H,0,0,0,0,0
Youshui,1.22500,O-O,0,0,0,0,0
Youshui,1.23500,O-H,0,0,0,0,0
Youshui,1.23500,O-O,0,0,0,0,0
Youshui,1.24500,O-H,0,0,0,0,0
Youshui,1.24500,O-O,0,0,0,0,0
Youshui,1.25500,O-H,0,0,0,0,0
Youshui,1.25500,O-O,0,0,0,0,0
Youshui,1.26500,O-H,0,0,0,0,0
Youshui,1.26500,O-O,0,0,0,0,0
Youshui,1.27500,O-H,0,0,0,0,0
Youshui,1.27500,O-O,0,0,0,0,0
Youshui,1.28500,O-H,0,0,0.002958161316,0.002955465952,-0.002958161316
Youshui,1.28500,O-O,0,0,0,0,0
Youshui,1.29500,O-H,0,0,0,0,0
Youshui,1.29500,O-O,0,0,0,0,0
Youshui,1.30500,O-H,0,0,0.005736369894,0.00404883092,-0.005736369894
Youshui,1.30500,O-O,0,0,0,0,0
Youshui,1.31500,O-H,0,0,0.002824728437,0.002822154652,-0.002824728437
Youshui,1.31500,O-O,0,0,0,0,0
Youshui,1.32500,O-H,0.001527456416,0.001526692497,0,0,0.001527456416
Youshui,1.32500,O-O,0,0,0,0,0
Youshui,1.33500,O-H,0,0,0.005481453499,0.003868906439,-0.005481453499
Youshui,1.33500,O-O,0,0,0,0,0
Youshui,1.34500,O-H,0.001482368152,0.001481626783,0.002700124139,0.002697663888,-0.001217755987
Youshui,1.34500,O-O,0,0,0,0,0
Youshui,1.35500,O-H,0,0,0.002660417152,0.002657993081,-0.002660417152
Youshui,1.35500,O-O,0,0,0,0,0
Youshui,1.36500,O-H,0.001439247222,0.001438527419,0.007864738919,0.004528285828,-0.006425491697
Youshui,1.36500,O-O,0,0,0,0,0
Youshui,1.37500,O-H,0,0,0.002583586402,0.002581232336,-0.002583586402
Youshui,1.37500,O-O,0,0,0,0,0
Youshui,1.38500,O-H,0.001397980815,0.00139728165,0.01527847886,0.006203235012,-0.01388049804
Youshui,1.38500,O-O,0,0,0,0,0
Youshui,1.39500,O-H,0.004134030009,0.002383200474,0.01255018218,0.005586995293,-0.008416152167
Youshui,1.39500,O-O,0,0,0,0,0
Youshui,1.40500,O-H,0.002716928184,0.001919236223,0.007423301048,0.004274118859,-0.004706372865
Youshui,1.40500,O-O,0,0,0,0,0
Youshui,1.41500,O-H,0.006696655566,0.002987338943,0.02195624776,0.007258511609,-0.01525959219
Youshui,1.41500,O-O,0,0,0,0,0
Youshui,1.42500,O-H,0.01320599517,0.004155169375,0.01683824521,0.006323554716,-0.003632250038
Youshui,1.42500,O-O,0,0,0,0,0
Youshui,1.43500,O-H,0.007813548924,0.003180283989,0.03558082388,0.009060555538,-0.02776727496
Youshui,1.43500,O-O,0,0,0,0,0
Youshui,1.44500,O-H,0.03210740648,0.006340704732,0.03275072428,0.008640673794,-0.0006433177984
Youshui,1.44500,O-O,0,0,0,0,0
Youshui,1.45500,O-H,0.03800110311,0.006833157694,0.07844793598,0.01343279172,-0.04044683288
Youshui,1.45500,O-O,0,0,0,0,0
Youshui,1.46500,O-H,0.04123249826,0.00727605558,0.02958671289,0.008108140465,0.01164578537
Youshui,1.46500,O-O,0,0,0,0,0
Youshui,1.47500,O-H,0.07148994032,0.00943841587,0.09205098779,0.01453947793,-0.02056104747
Youshui,1.47500,O-O,0,0,0,0,0
Youshui,1.48500,O-H,0.0741784803,0.009673372244,0.1129655258,0.01601289998,-0.03878704555
Youshui,1.48500,O-O,0,0,0,0,0
Youshui,1.49500,O-H,0.09118685405,0.01033691198,0.1267576823,0.01719076139,-0.03557082822
Youshui,1.49500,O-O,0,0,0,0,0
Youshui,1.50500,O-H,0.1610152296,0.01367965632,0.176835541,0.01901569753,-0.01582031132
Youshui,1.50500,O-O,0,0,0,0,0
Youshui,1.51500,O-H,0.1927790105,0.01495201096,0.1915340393,0.02010470009,0.001244971255
Youshui,1.51500,O-O,0,0,0,0,0
Youshui,1.52500,O-H,0.2571380017,0.01753565493,0.2751441939,0.02447062917,-0.01800619217
Youshui,1.52500,O-O,0,0,0,0,0
Youshui,1.53500,O-H,0.3346044249,0.01902939462,0.3130321559,0.02601407162,0.02157226897
Youshui,1.53500,O-O,0,0,0,0,0
Youshui,1.54500,O-H,0.4111736231,0.02161080003,0.4399570455,0.03054434598,-0.02878342233
Youshui,1.54500,O-O,0,0,0,0,0
Youshui,1.55500,O-H,0.6243796738,0.02581977328,0.5514811394,0.03447449623,0.07289853435
Youshui,1.55500,O-O,0,0,0,0,0
Youshui,1.56500,O-H,0.7226307186,0.02779394857,0.6441732133,0.03366636277,0.07845750529
Youshui,1.56500,O-O,0,0,0,0,0
Youshui,1.57500,O-H,0.899421772,0.03253497478,0.8801876053,0.03883917334,0.01923416673
Youshui,1.57500,O-O,0,0,0,0,0
Youshui,1.58500,O-H,1.068505468,0.03535458854,1.032440061,0.04744367578,0.03606540622
Youshui,1.58500,O-O,0,0,0,0,0
Youshui,1.59500,O-H,1.357674655,0.03643963146,1.228817753,0.0477278969,0.1288569017
Youshui,1.59500,O-O,0,0,0,0,0
Youshui,1.60500,O-H,1.686421698,0.04028553007,1.518837594,0.05350874679,0.1675841031
Youshui,1.60500,O-O,0,0,0,0,0
Youshui,1.61500,O-H,1.914414085,0.04353524773,1.730437153,0.05906948692,0.1839769318
Youshui,1.61500,O-O,0,0,0,0,0
Youshui,1.62500,O-H,2.249408202,0.04531120721,1.888634599,0.06028724285,0.3607736034
Youshui,1.62500,O-O,0,0,0,0,0
Youshui,1.63500,O-H,2.508877571,0.05037768799,2.29500202,0.06935125428,0.2138755505
Youshui,1.63500,O-O,0,0,0,0,0
Youshui,1.64500,O-H,2.832250927,0.0525676901,2.610149913,0.06670043591,0.2221010135
Youshui,1.64500,O-O,0,0,0,0,0
Youshui,1.65500,O-H,3.200517809,0.05453445172,2.846202987,0.07244517597,0.3543148219
Youshui,1.65500,O-O,0,0,0,0,0
Youshui,1.66500,O-H,3.57523692,0.05756674017,3.078175835,0.07264362767,0.4970610851
Youshui,1.66500,O-O,0,0,0,0,0
Youshui,1.67500,O-H,3.972347846,0.06019074099,3.436738881,0.07813648402,0.5356089647
Youshui,1.67500,O-O,0,0,0,0,0
Youshui,1.68500,O-H,4.103848699,0.06163155333,3.621440179,0.07879946792,0.4824085195
Youshui,1.68500,O-O,0,0,0,0,0
Youshui,1.69500,O-H,4.479326611,0.06514081201,3.721648883,0.08059025809,0.7576777279
Youshui,1.69500,O-O,0,0,0,0,0
Youshui,1.70500,O-H,4.583757465,0.06316089006,3.98729187,0.07855952591,0.5964655944
Youshui,1.70500,O-O,0,0,0,0,0
Youshui,1.71500,O-H,4.710072235,0.06723733574,3.967500326,0.07752548684,0.7425719091
Youshui,1.71500,O-O,0,0,0,0,0
Youshui,1.72500,O-H,4.639399467,0.06509974125,4.202336747,0.07907816553,0.4370627201
Youshui,1.72500,O-O,0,0,0,0,0
Youshui,1.73500,O-H,4.798094902,0.06263224307,4.072901073,0.08101020099,0.7251938287
Youshui,1.73500,O-O,0,0,0,0,0
Youshui,1.74500,O-H,4.631415713,0.06252048988,3.995875764,0.07586146014,0.6355399497
Youshui,1.74500,O-O,0,0,0,0,0
Youshui,1.75500,O-H,4.503039377,0.06052424565,4.023419822,0.08141065607,0.4796195546
Youshui,1.75500,O-O,0,0,0,0,0
Youshui,1.76500,O-H,4.311844552,0.06235398925,3.752169233,0.07691578488,0.559675319
Youshui,1.76500,O-O,0,0,0,0,0
Youshui,1.77500,O-H,4.1561528,0.05700343965,3.646445732,0.0734365277,0.509707068
Youshui,1.77500,O-O,0,0,0,0,0
Youshui,1.78500,O-H,3.929605403,0.05629188972,3.519853658,0.07258547271,0.4097517446
Youshui,1.78500,O-O,0,0,0,0,0
Youshui,1.79500,O-H,3.715324932,0.05663646342,3.327628201,0.06991716827,0.3876967314
Youshui,1.79500,O-O,0,0,0,0,0
Youshui,1.80500,O-H,3.393598479,0.05163777843,2.973017678,0.0640368744,0.4205808018
Youshui,1.80500,O-O,0,0,0,0,0
Youshui,1.81500,O-H,3.130002121,0.04992275121,2.817276964,0.06378369783,0.3127251569
Youshui,1.81500,O-O,0,0,0,0,0
Youshui,1.82500,O-H,2.793864219,0.04716203202,2.689693589,0.05783771772,0.1041706301
Youshui,1.82500,O-O,0,0,0,0,0
Youshui,1.83500,O-H,2.59147475,0.04709852445,2.394992523,0.05580635665,0.1964822273
Youshui,1.83500,O-O,0,0,0,0,0
Youshui,1.84500,O-H,2.347605428,0.04363230993,2.228475954,0.0548275496,0.1191294744
Youshui,1.84500,O-O,0,0,0,0,0
Youshui,1.85500,O-H,2.002842916,0.03870857129,2.079596346,0.05613235422,-0.07675342964
Youshui,1.85500,O-O,0,0,0,0,0
Youshui,1.86500,O-H,1.869630031,0.03681688728,1.746996232,0.04781297027,0.122633799
Youshui,1.86500,O-O,0,0,0,0,0
Youshui,1.87500,O-H,1.627771673,0.03401042567,1.595029116,0.04648666099,0.03274255762
Youshui,1.87500,O-O,0,0,0,0,0
Youshui,1.88500,O-H,1.513189414,0.03477373638,1.495668917,0.04250051,0.01752049665
Youshui,1.88500,O-O,0,0,0,0,0
Youshui,1.89500,O-H,1.23365366,0.02982286709,1.214681237,0.03976075579,0.01897242317
Youshui,1.89500,O-O,0,0,0.01103951008,0.007791880683,-0.01103951008
Youshui,1.90500,O-H,1.091420692,0.0285377083,1.133317082,0.03794205866,-0.04189639052
Youshui,1.90500,O-O,0,0,0.01638587127,0.009434503728,-0.01638587127
Youshui,1.91500,O-H,1.006195882,0.02701286226,1.094872568,0.03913443064,-0.08867668624
Youshui,1.91500,O-O,0,0,0,0,0
Youshui,1.92500,O-H,0.9002447163,0.02480047822,0.9688469923,0.03479999151,-0.06860227601
Youshui,1.92500,O-O,0,0,0,0,0
Youshui,1.93500,O-H,0.7692084052,0.02408128364,0.9366812775,0.03517446721,-0.1674728723
Youshui,1.93500,O-O,0,0,0,0,0
Youshui,1.94500,O-H,0.7017746426,0.02191637425,0.715319225,0.0300865116,-0.01354458244
Youshui,1.94500,O-O,0,0,0,0,0
Youshui,1.95500,O-H,0.6497094168,0.02114834453,0.7182442301,0.02988183451,-0.06853481331
Youshui,1.95500,O-O,0,0,0,0,0
Youshui,1.96500,O-H,0.5340758473,0.01881125642,0.647700474,0.02818815615,-0.1136246267
Youshui,1.96500,O-O,0,0,0,0,0
Youshui,1.97500,O-H,0.4791817789,0.01810064184,0.6374013151,0.02677280948,-0.1582195363
Youshui,1.97500,O-O,0,0,0,0,0
Youshui,1.98500,O-H,0.4131135077,0.01625653337,0.4859531784,0.0243589962,-0.07283967066
Youshui,1.98500,O-O,0,0,0,0,0
Youshui,1.99500,O-H,0.4190890565,0.01673783718,0.4504116919,0.02385046615,-0.03132263542
Youshui,1.99500,O-O,0,0,0,0,0
Youshui,2.00500,O-H,0.3668898358,0.01534991494,0.4313492026,0.02434525668,-0.06445936675
Youshui,2.00500,O-O,0,0,0,0,0
Youshui,2.01500,O-H,0.3057965939,0.01402045749,0.4499361735,0.02228761261,-0.1441395796
Youshui,2.01500,O-O,0,0,0,0,0
Youshui,2.02500,O-H,0.2746635303,0.01290806612,0.3728410312,0.02139330818,-0.09817750094
Youshui,2.02500,O-O,0,0,0,0,0
Youshui,2.03500,O-H,0.2629050798,0.01328919166,0.3621087132,0.02033841376,-0.09920363332
Youshui,2.03500,O-O,0,0,0,0,0
Youshui,2.04500,O-H,0.2648287963,0.01286355089,0.3574079735,0.02107075155,-0.09257917713
Youshui,2.04500,O-O,0,0,0.004739709793,0.00473539115,-0.004739709793
Youshui,2.05500,O-H,0.2495575343,0.0129912915,0.2729718067,0.01756258504,-0.02341427239
Youshui,2.05500,O-O,0,0,0.01877477423,0.009353126462,-0.01877477423
Youshui,2.06500,O-H,0.2251358784,0.01215912281,0.2840802364,0.01811064963,-0.05894435809
Youshui,2.06500,O-O,0,0,0,0,0
Youshui,2.07500,O-H,0.1756364744,0.01054167747,0.2666005986,0.01729492999,-0.09096412425
Youshui,2.07500,O-O,0,0,0,0,0
Youshui,2.08500,O-H,0.1832087212,0.01083981851,0.2595549581,0.01611920038,-0.07634623697
Youshui,2.08500,O-O,0,0,0,0,0
Youshui,2.09500,O-H,0.1692440989,0.01051667221,0.2348247544,0.01589189401,-0.06558065546
Youshui,2.09500,O-O,0,0,0,0,0
Youshui,2.10500,O-H,0.1500891537,0.009616673674,0.2292918501,0.01609584158,-0.07920269637
Youshui,2.10500,O-O,0,0,0,0,0
Youshui,2.11500,O-H,0.1426783406,0.009157787852,0.2009215737,0.01560904822,-0.05824323315
Youshui,2.11500,O-O,0,0,0,0,0
Youshui,2.12500,O-H,0.1330246096,0.008804841206,0.1806458968,0.01499645932,-0.0476212872
Youshui,2.12500,O-O,0,0,0,0,0
Youshui,2.13500,O-H,0.1123671743,0.008454464388,0.2003896813,0.01497578263,-0.08802250699
Youshui,2.13500,O-O,0,0,0,0,0
Youshui,2.14500,O-H,0.1288070219,0.008529340075,0.195340702,0.01464637905,-0.06653368007
Youshui,2.14500,O-O,0,0,0,0,0
Youshui,2.15500,O-H,0.1253046104,0.008445471015,0.1767031348,0.01365686728,-0.05139852432
Youshui,2.15500,O-O,0,0,0,0,0
Youshui,2.16500,O-H,0.09611592576,0.007541903474,0.1907062019,0.01443990518,-0.09459027615
Youshui,2.16500,O-O,0,0,0,0,0
Youshui,2.17500,O-H,0.1020365727,0.007468927054,0.1579801216,0.01282860167,-0.05594354895
Youshui,2.17500,O-O,0,0,0,0,0
Youshui,2.18500,O-H,0.1067216682,0.007781019287,0.2097396413,0.01455752037,-0.1030179731
Youshui,2.18500,O-O,0,0,0,0,0
Youshui,2.19500,O-H,0.1107607585,0.007937929756,0.1429485034,0.01293511241,-0.03218774493
Youshui,2.19500,O-O,0,0,0.008228097638,0.005807536255,-0.008228097638
Youshui,2.20500,O-H,0.103691358,0.007494910049,0.1677756151,0.01341116984,-0.06408425712
Youshui,2.20500,O-O,0,0,0.01223045359,0.007041936195,-0.01223045359
Youshui,2.21500,O-H,0.1022106271,0.007168987171,0.1592949781,0.01264716495,-0.05708435099
Youshui,2.21500,O-O,0,0,0,0,0
Youshui,2.22500,O-H,0.08991869006,0.006861256003,0.1647729853,0.01271995353,-0.07485429521
Youshui,2.22500,O-O,0,0,0,0,0
Youshui,2.23500,O-H,0.08750532256,0.00692570481,0.1662353731,0.01345604116,-0.07873005057
Youshui,2.23500,O-O,0,0,0,0,0
Youshui,2.24500,O-H,0.08140679693,0.006636841903,0.1482819616,0.01257526646,-0.06687516469
Youshui,2.24500,O-O,0,0,0,0,0
Youshui,2.25500,O-H,0.08437792159,0.006637223307,0.1777085097,0.01333311351,-0.09333058814
